treatment,ID,tank_rep_rand,tank_rep,genotype,fragment,rep,moisture_mgg,ash_DW_mgg,organic_DW_mgg,lipid_DW_mgg,lipid_AFDW_mgg,protien_DW_per,protein_AFDW_mgg
SeaSim,S-T4-2-04,SeaSim_1,1,2,4,0,69.79249383,947.6500123,52.34998765,2.606756192,49.7947814,0.488,93.21874214
SeaSim,S-T5-4-09,SeaSim_1,1,4,9,0,57.31543041,927.3278582,72.67214179,12.1184271,166.7547811,0.613,84.35144265
SeaSim,S-T6-1-09,SeaSim_1,1,1,9,0,84.56780075,918.9009358,81.09906421,8.188585608,100.9701615,0.41,50.55545388
SeaSim,S-T7-3-09,SeaSim_1,1,3,9,0,59.99845315,949.5941461,50.40585389,9.052954233,179.6012474,0.55,109.1143106
SeaSim,S-T8-3-03,SeaSim_1,1,3,3,0,51.85633155,949.1159388,50.88406117,8.515690474,167.3547724,0.449,88.23981217
SeaSim,S-T9-4-10,SeaSim_1,1,4,10,0,48.15930154,965.875544,34.12445601,9.829567975,288.0505398,0.359,105.2031423
SeaSim,S-T10-2-07,SeaSim_1,1,2,7,0,82.60441448,952.6522164,47.34778365,4.914099653,103.7873217,0.64,135.1700018
Artemia,Art-01,Artemia_1,1,1,1,0,na,217.8030303,782.1969697,505.1020408,645.7478875,43.368,554.4383535
Artemia,Art-02,Artemia_1,1,1,2,0,na,123.3365019,876.6634981,300.5797101,342.8678288,49.039,559.3822499
Artemia,Art-03,Artemia_1,1,1,3,0,na,137.8835563,862.1164437,303.1161473,351.5953669,47.282,548.4409948
Rotifers,Rot-01,Rotifers_1,1,1,1,0,na,204.8374906,795.1625094,981.547619,1234.398764,12.231,153.8176141
Rotifers,Rot-02,Rotifers_1,1,1,2,0,na,309.2067169,690.7932831,574.0437158,830.9920346,44.211,640.0033277
Rotifers,Rot-03,Rotifers_1,1,1,3,0,na,271.9449225,728.0550775,253.736089,348.5122168,36.614,502.901513
Algae,Alg-01,Algae_1,1,1,1,0,na,na,na,11876.47059,na,na,na
Algae,Alg-02,Algae_1,1,1,2,0,na,na,na,2127.39726,na,na,na
Algae,Alg-03,Algae_1,1,1,3,0,na,na,na,18797.47475,na,na,na
PelletD,Pel-01,PelletD_1,1,1,1,0,na,44.65708121,955.3429188,181.508758,189.9933044,45.929,480.7593074
PelletD,Pel-02,PelletD_1,1,1,2,0,na,44.21601602,955.783984,178.4386617,186.6935047,46.368,485.1305397
PelletD,Pel-03,PelletD_1,1,1,3,0,na,44.78909848,955.2109015,10.24476905,10.72513833,46.418,485.9450403
Control,C-T4-5-07,Control_4,4,5,7,1,na,na,na,7.277243663,na,na,na
Control,C-T3-3-12,Control_3,3,3,12,1,na,na,na,8.313484793,na,na,na
Fish,F-T4-4-08,Fish_4,4,4,8,1,na,na,na,9.951301097,na,na,na
Fish,F-T2-2-15,Fish_2,2,2,15,1,na,na,na,10.57545644,na,na,na
Control,C-T4-1-29,Control_4,4,1,29,1,na,na,na,18.22183524,na,na,na
Mix,M-T3-5-16,Mix_3,3,5,16,1,na,na,na,9.826417786,na,na,na
Mix,M-T3-5-41,Mix_3,3,5,41,1,na,na,na,6.932001762,na,na,na
Mix,M-T4-2-02,Mix_4,4,2,2,1,na,na,na,7.809634135,na,na,na
Mix,M-T4-3-14,Mix_4,4,3,14,1,na,na,na,6.150131694,na,na,na
Mix,M-T4-4-11,Mix_4,4,4,11,1,na,na,na,11.34708164,na,na,na
LiveFeeds,L-T2-5-33,LiveFeeds_2,2,5,33,1,na,na,na,14.72490476,na,na,na
Pellets,P-T1-1-08,Pellets_1,1,1,8,1,na,na,na,4.660458778,na,na,na
Pellets,P-T1-2-34,Pellets_1,1,2,34,1,na,na,na,3.692088382,na,na,na
Pellets,P-T2-1-38,Pellets_2,2,1,38,1,na,na,na,38.68349865,na,na,na
Dissolved,D-T3-2-51,Dissolved_3,3,2,51,1,na,na,na,27.38160044,na,na,na
Dissolved,D-T3-3-32,Dissolved_3,3,3,32,1,na,na,na,6.525477863,na,na,na
Dissolved,D-T3-4-32,Dissolved_3,3,4,32,1,na,na,na,6.729656768,na,na,na
Field,FL-T8-1-08,Field_8,8,1,8,1,na,na,na,7.508549338,na,na,na
Control,C-T4-5-07,Control_4,4,5,7,1,na,na,na,6.674180428,na,na,na
PelletD,Pel-04,PelletD_1,1,1,4,0,27.00259858,45.95685846,954.0431415,na,na,na,na
PelletD,Pel-05,PelletD_1,1,1,5,0,na,46.70277979,953.2972202,na,na,na,na
PelletD,Pel-06,PelletD_1,1,1,6,0,na,46.6438814,953.3561186,na,na,na,na
